start_bp	end_bp	ancID	childID
72454992	72902369	2	9069
72902369	81946490	1	9069
81946490	82003982	2	9069
82003982	82695710	1	9069
82695710	83797957	2	9069
83797957	84286577	1	9069
84286577	84391412	2	9069
84391412	85684037	1	9069
85684037	86515679	2	9069
86515679	92436517	1	9069
92436517	93092549	2	9069
93092549	97261148	1	9069
97261148	98820791	2	9069
98820791	99443458	1	9069
99443458	99609017	2	9069
99609017	100000001	1	9069
0	850078	1	11903
850078	11829558	2	11903
11829558	14742734	1	11903
14742734	16057409	2	11903
16057409	17991896	1	11903
17991896	18392373	2	11903
18392373	21047854	1	11903
21047854	21334436	2	11903
21334436	25133150	1	11903
25133150	26485440	2	11903
26485440	27330903	1	11903
27330903	27912043	2	11903
27912043	30417478	1	11903
30417478	30773107	2	11903
30773107	32475824	1	11903
32475824	33540562	2	11903
33540562	44529588	1	11903
44529588	44781809	2	11903
44781809	52140491	1	11903
52140491	56150044	2	11903
56150044	59814406	1	11903
59814406	60409326	2	11903
60409326	64024713	1	11903
64024713	68395531	2	11903
68395531	68666303	1	11903
68666303	70809656	2	11903
70809656	70845558	1	11903
70845558	71739813	2	11903
71739813	73059593	1	11903
73059593	73423382	2	11903
73423382	73665329	1	11903
73665329	74047389	2	11903
74047389	75087891	1	11903
75087891	77492379	2	11903
77492379	81949318	1	11903
81949318	82798484	2	11903
82798484	84280420	1	11903
84280420	84679908	2	11903
84679908	85716648	1	11903
85716648	87140797	2	11903
87140797	94763553	1	11903
94763553	96195005	2	11903
96195005	98268450	1	11903
98268450	98648428	2	11903
98648428	100000001	1	11903
0	3052557	2	872
3052557	3435960	1	872
3435960	8080467	2	872
8080467	10200447	1	872
10200447	11070440	2	872
11070440	11899577	1	872
11899577	12107194	2	872
12107194	17395108	1	872
17395108	22003708	2	872
22003708	24737773	1	872
24737773	25901311	2	872
25901311	27261967	1	872
27261967	27597637	2	872
27597637	40922447	1	872
40922447	41694118	2	872
41694118	55694202	1	872
55694202	55757073	2	872
55757073	59336424	1	872
59336424	59863823	2	872
59863823	59881595	1	872
59881595	60143324	2	872
60143324	61771464	1	872
61771464	63208009	2	872
63208009	64718843	1	872
64718843	67736521	2	872
67736521	68455463	1	872
68455463	70663420	2	872
70663420	79020831	1	872
79020831	79243060	2	872
79243060	80314913	1	872
80314913	81598348	2	872
81598348	89204064	1	872
89204064	89754168	2	872
89754168	91090225	1	872
91090225	91936356	2	872
91936356	92977895	1	872
92977895	93796488	2	872
93796488	96164564	1	872
96164564	99008103	2	872
99008103	100000001	1	872
0	937459	1	17641
937459	1614307	2	17641
1614307	5063527	1	17641
5063527	6495920	2	17641
6495920	9056479	1	17641
9056479	12081269	2	17641
12081269	13825119	1	17641
13825119	14072307	2	17641
14072307	22095806	1	17641
22095806	22884821	2	17641
22884821	26509014	1	17641
26509014	26561822	2	17641
26561822	30524836	1	17641
30524836	33809384	2	17641
33809384	34325715	1	17641
34325715	34992986	2	17641
34992986	36230449	1	17641
36230449	37323050	2	17641
37323050	37807756	1	17641
37807756	40409697	2	17641
40409697	41440228	1	17641
41440228	43143191	2	17641
43143191	56080689	1	17641
56080689	58679711	2	17641
58679711	61497254	1	17641
61497254	61659812	2	17641
61659812	69286550	1	17641
69286550	73777609	2	17641
73777609	74478830	1	17641
74478830	77360229	2	17641
77360229	77750198	1	17641
77750198	78606722	2	17641
78606722	79927967	1	17641
79927967	82449911	2	17641
82449911	82455805	1	17641
82455805	83467817	2	17641
83467817	84002292	1	17641
84002292	84230952	2	17641
84230952	89711443	1	17641
89711443	91067500	2	17641
91067500	92670401	1	17641
92670401	96796592	2	17641
96796592	96967990	1	17641
96967990	97691994	2	17641
97691994	100000001	1	17641
0	4076619	2	8146
4076619	14874035	1	8146
14874035	16577103	2	8146
16577103	19915340	1	8146
19915340	21212719	2	8146
21212719	21712099	1	8146
21712099	21844782	2	8146
21844782	26841597	1	8146
26841597	27559435	2	8146
27559435	36867462	1	8146
36867462	38640636	2	8146
38640636	39209612	1	8146
39209612	41441761	2	8146
41441761	43225507	1	8146
43225507	44734672	2	8146
44734672	46314070	1	8146
46314070	47837388	2	8146
47837388	48289966	1	8146
48289966	48746330	2	8146
48746330	51270452	1	8146
51270452	51931496	2	8146
51931496	52066068	1	8146
52066068	52413784	2	8146
52413784	53467121	1	8146
53467121	53487200	2	8146
53487200	56342888	1	8146
56342888	58763479	2	8146
58763479	62526508	1	8146
62526508	64893099	2	8146
64893099	65974907	1	8146
65974907	66098068	2	8146
66098068	67101361	1	8146
67101361	68183724	2	8146
68183724	73861282	1	8146
